A;Á
Brennꝍyium;Brenneyjum
Bretland;Bretland
Brimum;Brimum
Brisíngamens;Brisíngamens
Brjóst;Brjóst
Brodda;Brodda
Broddi;Broddi
Brokk;Brokk
Brokkr;Brokkur
Brugðu;Brugðu
Brunsvik;Brúnsvík
Brunsvik;Brunsvík
Brusa;Brúsa
Brusasunr;Brúsasonur
Brynhildar;Brynhildar
Brynhildi;Brynhildi
Brynhildr;Brynhildur
Brynja;Brynja
Brynju;Brynju
Brá;Brá
Brátt;Brátt
Bræðr;Bræður
Brími;Brími
Brísingamen;Brísingamen
Brísingamens;Brísingamens
Bua;Búa
Bui;Búí
Bui;Búi
Burizleif;Búrisleif
Burizleifi;Búrisleifi
Burizleifr;Búrisleifur
Burizleifs;Búrisleifs
Burizlæifr;Búrisleifur
Burizlæifs;Búrisleifs
Buðlasonar;Buðlasonar
Buðli;Buðli
Buðlungar;Buðlungar
Buðlungaætt;Buðlungaætt
Bylgja;Bylgja
Byrgir;Byrgir
Byrgisbúð;Byrgisbúð
Byskup;biskup
Byskup;Biskup
Byskupsbrunni;Byskupsbrunni
Byskupsmenn;Biskupsmenn
Bál;Bál
Bálkarlag;Bálkarlag
Bára;Bára
Báru;Báru
Bárð;Bárð
Bárðar;Bárðar
Bárðarson;Bárðarson
Bárðarsonar;Bárðarsonar
Bárðarsyni;Bárðarsyni
Bárðarsynir;Bárðarsynir
Bárði;Bárði
Bárðr;Bárður
Bárður;Bárður
Bæ;Bæ
Bæiddiz;Beiddist
Bæjar;Bæjar
Bæjarreiðina;Bæjarreiðina
Bæjarreiðinni;Bæjarreiðinni
Bælltis;Beltis
Bændr;Bændur
Bænum;Bænum
Bæði;Bæði
Bóndi;Bóndi
Bölverki;Bölverki
Bölverkr;Bölverkur
Bölverks;Bölverks
Bölverkur;Bölverkur
Bölþorns;Bölþorns
Börkr;Börkur
Börn;Börn
Börr;Bör
Böðvar;Böðvar
Böðvari;Böðvari
Böðvarr;Böðvarr
Böðvarr;Böðvar
Böðvars;Böðvars
Böðvarsson;Böðvarsson
Böðvarssyni;Böðvarssyni
Búast;Búast
Búri;Búri
Búss;Búss
Búðardal;Búðardal
Búðardalsá;Búðardalsá
Búðardalsár;Búðardalsár
Býleistr;Býleistur
Býleists;Býleists
Bꝍndr;Bændur
Conongr;Konungur
Conongren;Konungurinn
Conongrenn;Konungurinn
Conongs;Konungs
Dag;Dag
Dagr;Dagur
Dags;Dags
Dal;Dal
Dala;Dala
Dali;Dali
Dana;Dana
Danakononge;Danakonungi
