A;Á
blotstaðum;blótstöðum
bloð;blóð
bloðe;blóði
bloðoct;blóðugt
bloðog;blóðug
bloðogt;blóðugt
bloðras;blóðrás
bloðꝍx;blóðöx
bloðꝍxar;blóðaxar
blundandi;blundandi
blá;blá
bláir;bláir
blár;blár
blása;blása
blása;blásta
blástr;blástur
blástrinn;blásturinn
bláum;bláum
blæddi;blæddi
blæddu;blæddu
blær;blær
blæss;blæss
blæss;blæs
blæstrinum;blæstrinum
blés;blés
blítt;blítt
blíðara;blíðara
blíðasti;blíðasti
blíðliga;blíðlega
blíðr;blíður
blíðri;blíðri
blíðu;blíðu
blóm;blóm
blómr;blómur
blót;blót
blóta;blóta
blótaði;blótaði
blótféit;blótféð
blótmaðr;blótmaður
blótsins;blótsins
blótuð;blótuð
blótuðu;blótuðu
blóð;blóð
blóðböndum;blóðböndum
blóði;blóði
blóðit;blóðið
blóðrefillinn;blóðrefillinn
blóðreflinum;blóðreflinum
blóðrás;blóðrás
blóðrás;blóðurás
blóðrásin;blóðrásin
blóðs;blóðs
blóðstorkin;blóðstorkin
blóðugir;blóðugir
blóðugt;blóðugt
blönduskáld;blönduskáld
blꝍyðe;bleyði
blꝍyði;bleyði
boanda;búanda
boande;bóndi
boandom;búendum
bodade;boðaði
bodit;boðið
boga;boga
boganum;boganum
bogaás;bogaás
boggunum;böggunum
bogha;boga
bogmaðr;bogmaður
bognauð;bognauð
bolla;bolla
bollann;bollann
bollenn;bollinn
bonda;bónda
bonda;bænda
bonde;bóndi
bondenn;bóndinn
bondom;bændum
bondom;böndum
bora;bora
borat;borað
boraði;boraði
bord;borð
bordu;börðu
borenn;borinn
boret;borið
borez;borist
borg;borg
borga;borga
borgar;borgar
borgarennar;borgarinnar
borgargerðin;borgargerðin
borgarinnar;borgarinnar
borgarlið;borgarhlið
borgarmanna;borgarmanna
borgarvegginn;borgarvegginn
borgen;borgin
borgena;borgina
borgenne;borginni
borger;borgir
borghar;borgar
borgharlið;borgarhlið
borgharliðit;borgarhliðið
borghena;borgina
borghenne;borginni
borghina;borgina
borghinni;borginni
borghliði;borghliði
borgina;borgina
borginmóði;borginmóði
borginni;borginni
borgit;borgið
borgstað;borgstað
borin;borin
borinn;borinn
borit;borið
borizt;borist
born;börn
bornar;bornar
bornir;bornir
bornn;börn
borz;borðs
borð;borð
borða;borða
borðbúnaðar;borðbúnaðar
borðe;borði
borðen;borðin
borðhald;borðhald
borði;borði
borðin;borðin
borðit;borðið
borðom;borðum
borðs;borðs
borðskutil;borðskutil
borðunum;borðunum
borðuz;börðust
bot;bót
botn;botn
bouð;bauð
boð;boð
boða;boða
boðat;boðað
boðe;boði
boðet;boðið
boði;boði
boðinu;boðinu
boðit;boðið
boðner;boðnir
boðorð;boðorð
boðs;boðs
boðsmenn;boðsmenn
boðínu;boðinu
bra;brá
braga;braga
bragafull;bragafull
bragar;bragar
bragarbót;bragarbót
bragarmál;bragarmál
bragr;bragur
bragð;bragð
bragða;bragða
bragðvísi;bragðvísi
brak;brak
brakade;brakaði
brann;brann
brast;brast
brat;brátt
bratt;brátt
bratt;bratt
brattir;brattir
brattlæitr;brattleitur
braut;braut
brautar;brautar
brautgöngu;brautgöngu
brautir;brautir
brauzt;braust
brauð;brauð
brazk;brást
braða;bráða
brecco;brekku
bref;bréf
brefa;bréfa
brefom;bréfum
bregzt;bregst
bregða;bregða
bregðr;bregðr
bregðr;bregður
breiddi;breiddi
breitt;breitt
breið;breið
breiða;breiða
breiðr;breiður
brekka;brekka
brekku;brekku
brekkunni;brekkunni
brekkur;brekkur
brende;brenndi
brendi;brenndi
brendo;brenndu
brendu;brenndu
brenna;brenna
brennandi;brennandi
brennd;brennd
brenndan;brenndan
brenndi;brenndi
brenndr;brenndur
brenndu;brenndu
brenni;brenni
brennir;brennir
brennr;brennur
brennu;brennu
brennu;brenni
brennunni;brennunni
brest;brest
bresta;bresta
brestr;brestr
breyta;breyta
breytiligt;breytilegt
breytið;breytið
breytt;breytt
breyttir;breyttir
breytzt;breyst
brigða;brigða
brigðræði;brigðræði
bringuna;bringuna
briost;brjóst
briote;brjóti
brjóst;brjóst
brjósti;brjósti
brjóstit;brjóstið
brjót;brjót
brjóta;brjóta
brjótr;brjótur
brodir;bróðir
brodur;bróður
brosandi;brosandi
brosligra;broslegra
brosti;brosti
brot;brott
brotet;brotið
brotfærð;brottferð
brotin;brotin
brotinn;brotinn
brotit;brotit
brotit;brotið
brotna;brotna
brotnar;brotnar
brotnaðe;brotnaði
brotnaði;brotnaði
brott;brott
brottferð;brottferð
brottferðar;brottferðar
brotto;brott
brotto;brottu
brottreið;brottreið
brottreiðina;brottreiðina
brottu;brott
brottu;bröttu
brottu;brottu
broðer;bróðir
broðir;bróðir
broðor;bróður
broðr;bróður
brséðr;bræður
brudhlaup;brúðhlaup
brugdu;brugðu
brughðit;brugðið
brugðit;brugðið
brugðu;brugðu
brullaup;brullaup
brullaupinu;brúðkaup
brunn;brúnn
brunni;brunni
brunninn;brunninn
brunninum;brunninum
brunnit;brunnið
brunnr;brunnur
brunnu;brunnu
brutu;brutu
bruðr;brunnur
bryggiu;bryggju
bryggium;bryggjum
bryggiunum;bryggjunum
bryggiur;bryggjur
bryggjunni;bryggjunni
bryggjur;bryggjur
brygði;brygði
brynia;brynja
bryniaða;brynjaða
bryniu;brynju
brynium;brynjum
bryniunni;brynjunni
bryniur;brynju
bryniur;brynjur
brynjan;brynjan
brynju;brynju
brynjuna;brynjuna
brynjunni;brynjunni
brynjur;brynjur
bryti;bryti
brá;brá
brár;brár
brást;brást
brátt;brátt
bráð;bráð
bráðan;bráðan
bráðgervasti;bráðgervasti
bráðlátir;bráðlátir
bráðnaði;bráðnaði
bráðskeytr;bráðskeyttur
brædr;bræður
brædra;bræðra
brægða;bregða
brægði;bregði
bræitt;breitt
brækr;brækur
brændi;brenndi
bræzke;breski
bræðr;bræðr
bræðr;bræður
bræðra;bræðra
bræðralag;bræðralag
bræðrum;bræðrum
bræðrum;bræðurum
bréf;bréf
bréfi;bréfi
bréfinu;bréfinu
bréfit;bréfið
bréfum;bréfum
bróðir;bróðir
bróður;bróður
bróðurbana;bróðurbana
bróðurdóttur;bróðurdóttur
bróðurgjöld;bróðurgjöld
bróðursonar;bróðursonar
bróðursonr;bróðursonur
bróðursonu;bróðursyni
brött;brött
brú;brú
brúarinnar;brúarinnar
brúarsporð;brúarsporð
brúin;brúin
brúkit;brúkið
brún;brún
brúna;brúna
brúnan;brúnan
brúðför;brúðför
brúðgumi;brúðgumi
brúði;brúði
brúðkaups;brúðkaups
brúðlaupi;brúðlaupi
brúðlaups;brúðkaups
brúðr;brúður
brýndi;brýndi
brýni;brýni
brýnnar;brýnnar
brýtr;brýtur
brędr;bræður
brꝍðr;bræður
brꝍðr;bróður
brꝍðra;bræðra
brꝍðrom;bræðrum
bsejum;bsejum
bu;bú
bua;búa
buannde;bóndi
buaz;búast
buazc;búst
buazst;búast
budir;búðir
budu;buðu
buet;búið
bui;búi
buin;búin
buinn;búinn
buinu;búinu
buit;búið
buit;buið
buiz;búist
bukanna;búkanna
buklara;buklara
buklarafetil;buklarafetil
buklaranum;buklaranum
buna;búna
bunat;búnað
bundin;bundin
bundinn;bundinn
bundit;bundið
bundizk;bundist
bundnar;bundnar
bundni;bundni
bundnir;bundnir
bundu;bundu
buner;búnir
bunir;búnir
bunndnar;bundnar
bunndu;bundu
bunu;búnu
bunyt;búnyt
burstin;burstin
burstinni;burstinni
burt;burt
burtfarar;burtfarar
burð;burð
burði;burði
bus;bús
bustad;bústað
buum;búum
buðu;buðu
bySkup;biskup
bygd;byggð
bygdar;byggða
bygdir;byggðir
byggi;byggi
byggia;byggja
byggiada;byggjanda
byggiligazst;byggilegast
byggium;byggjum
byggja;byggja
byggt;byggt
byggva;byggja
byggvanda;byggjanda
byggvi;byggi
byggvir;byggir
byggvist;byggðist
byggviás;byggviás
byggð;byggð
byggða;byggða
byggði;byggði
byggðin;byggðin
byggðir;byggðir
byggðist;byggðist
byggðu;byggðu
byggðum;byggðum
bygt;byggt
bygðena;byggði
bygðir;bygðir
bygðir;byggðir
bygðu;byggðu
byr;býr
byr;byr
byrdar;byrðir
byrenn;byrinn
byrgðir;byrgðir
byri;byri
byria;byrja
byriar;byrjar
byriaðe;byrjaði
byrina;byrinn
byrja;byrja
byrjar;byrjar
byrjaði;byrjaði
byrla;byrla
byrr;byr
byrr;byrr
byrðar;byrðar
byrði;byrði
byrðinga;byrðinga
byrðr;burður
byrðum;byrðum
byskup;byskup
byskup;biskup
byskupa;biskupa
byskupar;biskupar
byskupi;biskupi
byskupligu;biskuplegu
byskups;byskups
byskups;biskups
byskups;biksups
byskupsdóms;biskupsdóms
byskupsdóttir;biskupsdóttir
byskupsdóttur;biskupsdóttur
byskupsefni;biskupsefni
byskupskosning;biskupskosning
byskupsmanna;biskupsmanna
byskupsmenn;biskupsmenn
byskupsmítr;biskupsmítur
byskupsmönnum;biskupsmönnum
byskupsson;biskupsson
byskupsstólar;biskupsstólar
byskupstignar;biskupstignar
byskupstoll;biskupstóll
byskupsvatni;biskupsvatni
byði;byði
byðr;býður
bág;bág
bága;bága
bálför;bálför
bálit;bálið
bálk;bálk
bálkarlagi;bálkarlagi
báru;báru
bát;bát
báti;báti
bátinum;bátinum
bátnum;bátnum
báða;báða
báðar;báðar
báðir;báðir
báðu;báðu
báðum;báðum
bæ;bæ
bæde;bæði
bædir;hæðir
bæggia;báða
bæggia;beggja
bægðe;bægði
bæi;bæi
bæiar;bæjar
bæid;beið
bæiddiz;beiddist
bæin;bein
bæinn;bæinn
bæit;beit
bæit;beitt
bæita;beita
bæitt;beitt
bæið;beið
bæiðazk;beiðast
bæja;bæja
bæjar;bæjar
bæjarins;bæjarins
bæjum;bæjum
bækkr;bekkur
bæn;bæn
bæna;bæna
bænahald;bænahald
bænahús;bænahús
bænahúsi;bænahúsi
bænahúsinu;bænahúsinu
bænahúsit;bænahúsið
bænar;bænar
bænarinnar;bænarinnar
bænarstað;bænarstað
bænarstaðr;bænarstaður
bænastað;bænastað
bændr;bændur
bænir;bænir
bænskr;bernskur
bænum;bænum
bær;bær
bæra;bera
bære;bæri
bæri;bæri
bæriast;berjast
bæriaz;berjast
bæriazk;berjast
bærist;bærist
bæriumk;berjumst
bæriz;berjist
bærizk;berist
bærizst;bærist
bærnscu;bernsku
bærnska;bernska
bærr;ber
bærst;berst
bærðiz;bærðist
bæta;bæta
bætr;bætr
bætr;bætur
bætr;betur
bætra;betri
bætra;betur
bætra;betra
bætri;betri
bætt;bætt
bætti;bætti
bættu;bættu
bæzstu;bestu
bæzt;best
bæzta;besta
bæztu;bestu
bæðe;bæði
bæðe;bæðir
bæði;bæði
bíta;bíta
bítr;bítur
bíð;bíð
bíða;bíða
bíðr;bíðr
bógum;bógum
bóguna;bóguna
bók;bók
bókar;bókar
ból;ból
bóls;bóls
bólstaði;bólstaði
bónda;bónda
bóndi;bóndi
bóndum;bóndum
bónorð;bónorð
bótanna;bótanna
bótum;bótum
bökkum;bökkum
bökkunum;bökkunum
böl;böl
bölvasmiðr;bölvasmiðr
bölvaði;bölvaði
bölvaðu;bölvuðu
bönd;bönd
böndum;böndum
böndunum;böndum
bönnuð;bönnuð
börn;börn
börnin;börnin
börnum;börnum
börðu;börðu
börðust;börðust
bú;bú
búa;búa
búanda;búanda
búandanum;búandanum
búandi;búandi
búandinn;búandinn
búast;búast
búendr;búendur
búfé;búfé
búgerð;búgerð
búi;búi
búin;búin
búinn;búinn
búins;búins
búinu;búinu
búit;búit
búit;búið
búið;búið
búkarlar;búkarlar
búkinn;búkinn
búkr;búkur
búland;búland
búlausir;búlausir
búna;búna
búnar;búnar
búnaði;búnaði
búnaðr;búnaður
búning;búning
búningi;búningi
búnir;búnir
búnu;búnu
bús;bús
búsgögn;búsgögn
búsmali;búsmali
bústað;bústað
bústaðr;bústaðr
búð;búð
búða;búða
búðar;búðar
búðardurum;búðardyrum
búðarliði;búðarliði
búðarvist;búðarvist
búðin;búðin
búðina;búðina
búðinni;búðinni
búðir;búðir
búðum;búðum
búþegn;búþegn
býflugur;býflugur
býr;býr
býst;býst
býðr;býður
bę;bæ
będe;bæði
bœjarins;bæjarins
bœn;bæn
bœndr;bændur
bœnina;bænina
bỏnd;bönd
bꝍ;bæ
bꝍar;bæi
bꝍle;býli
bꝍn;bæn
bꝍndr;bændur
bꝍnndr;bændur
bꝍnom;bænum
bꝍr;bær
bꝍta;bæta
bꝍtr;bætur
bꝍttezk;bættist
bꝍy;bæ
bꝍya;bæi
c;hundruðum
c;hundruð
c;hundruði
c;hundrað
cafit;kafið
cafla;kafla
calla;kalla
callar;kallar
callat;kallað
callat;kölluð
callað;kallað
callað;kölluð
callaðe;kallaði
callaðr;kallaður
callaðu;kölluðu
callaðuzk;kölluðust
cann;kann
capalinn;kapalinn
capp;kapp
casta;kasta
castala;kastala
castaðe;kastaði
castaðu;köstuðu
caupfriðr;kaupfriður
caupmaðr;kaupmaður
ccc;þrjárhundruðir
cnesætt;knésett
com;kom
coma;koma
comaz;komast
comen;komin
comen;kominn
comenn;kominn
comet;komið
cominn;kominn
comner;komnir
comnir;komnir
como;komu
como;komi
comoz;komust
comozk;komust
coms;komst
comsk;komst
comu;komu
cona;kona
conan;konan
cono;konu
conom;konum
conongrenn;konungurinn
corpus;corpus
cost;kost
costar;kostar
coste;kosti
costr;kostur
cristinn;kristinn
cristinna;kristinna
cristnat;kristnað
crossa;krossa
crossens;krossins
cunnr;kunnur
curia;curia
cvangaðezk;kvongaðist
cvað;kvað
cveða;kveða
cveðet;kveðið
cveðiu;kveðju
cvæld;kveld
cvældit;kveldið
cvælldet;kvöldið
cvælldit;kveldið
cvæðe;kvæði
cvæðe;kveði
cvæðiu;kveðju
cvæðom;kvæðum
cꝍme;kæmi
dag;dag
daga;daga
dagan;dögun
dagar;dagar
dagaði;dagaði
dagen;daginn
dagenn;daginn
dagh;dag
daginn;daginn
daglangt;daglangt
dagleiðum;dagleiðum
dagmalastad;dagmálastað
dagr;dagur
dagrað;dagráð
dagrinn;dagurinn
dags;dags
dagshelgrin;dagshelgin
dagsins;dagsins
dagum;dögum
dagurðar;dögurðar
dagverð;dagverð
dal;dal
dala;dala
dala;dal
dalarr;dalar
dali;dali
dalr;dalur
dalverpi;dalverpi
dansca;danska
danska;danska
dansker;danskir
danskra;danskra
danskre;danskri
danskri;danskri
dansleikar;dansleikar
daprlig;dapurleg
dasaðist;dasaðist
daud;dauð
daudr;dauður
daudum;dauðum
daufligt;dauflegt
dauða;dauða
dauðadags;dauðadags
dauðan;dauðan
dauðann;dauðann
dauði;dauði
dauðir;dauðir
dauðlig;dauðleg
dauðr;dauður
dauðra;dauðra
dauðum;dauðum
daðascalld;daðaskáld
daðaskalld;daðaskáld
degi;degi
deginum;deginum
deila;deila
deildan;deildan
deili;deili
deilir;deilir
deilunum;deilunum
deilur;deilur
deiluvænlig;deiluvænleg
deilðar;deildar
deilði;deildi
dekkra;dekkra
detthent;detthent
deyja;deyja
deyr;deyr
digra;digra
digran;digran
digrastr;digrastur
digrbæin;digurbein
digrbæinn;digurbeinn
digri;digri
digrlæggr;digurleggur
digrnefjaðr;digurnefjaður
dike;díki
dikinu;díkinu
dikisens;díkisins
dikit;díkið
dirfa;dirfa
dirfðist;dirfðist
dirokkr;dirokkur
diskr;diskur
diuphugað;djúphuguð
diuphugaðr;djúphugaður
diupraðr;djúpráður
diupræðe;djúpræði
diupræðom;djúpráðum
diupt;djúpt
diupum;djúpum
djarfastr;djarfastur
djarfleik;djarfleik
djarfliga;djarflega
djarfr;djarfur
djákn;djákn
djákna;djákna
djákni;djákni
djöful;djöful
djöfullinn;djöfullinn
djúpa;djúpa
djúpastan;djúpastan
djúpt;djúpt
djúpum;djúpum
do;dó
dogg;dögg
dogurðe;dögurði
dom;dóm
doma;dóma
domar;dómar
dome;dómi
domini;domini
dorgar;dorgar
dotter;dóttir
dottir;dóttir
dottor;dóttir
dottor;dóttur
dottorsunr;dóttursonur
dottur;dóttur
douðar;þáðar
douðum;dauðum
drag;drag
draga;draga
dragist;dragist
dragum;drögum
drakk;drakk
drakkt;drakkst
dramb;dramb
drambe;drambi
drap;drap
drap;durap
drap;dráp
drapa;drápa
drape;drápi
drapo;drápu
draptu;drapstu
draptu;dreptu
drapu;drápu
drapuz;drápust
draughent;draughent
draum;draum
drauma;drauma
draumana;draumana
drauminn;drauminn
draummaðrinn;draummaðurinn
draumr;draumur
draumum;draumum
draup;draup
dreca;dreka
drecka;drekka
dregez;dregist
dregil;dregil
dreginn;dreginn
dregit;dregið
dregnir;dregnir
dregr;dregur
dregst;dregst
dreifa;dreifa
dreifast;dreifast
dreifir;dreifir
dreifðist;dreifðist
dreifðizk;dreifðist
dreifðuzk;dreifðust
dreka;dureka
dreka;dreka
drekann;drekann
dreki;dreki
drekka;durekka
drekka;drekka
drekkr;drekkur
drekkur;drekkur
drekkði;drekkði
drekkðu;drekktu
drembilega;drembilega
drengia;drengja
drengilega;drengilega
drengiliga;drengiliga
drengiliga;drengilega
drengiligha;drengilega
drengiligra;drengilegra
drengiligra;drengiligra
drengiligri;drengilegri
drengir;drengir
drengium;drengjum
drenglyndastr;drenglyndastur
drengr;durengur
drengr;drengur
drengskap;dregskap
drengskap;drengskap
drengskapr;drengskapur
drep;drep
drepa;durepa
drepa;drepa
drepast;drepast
drepenn;drapinn
drepenn;drepinn
drepet;drepið
drepi;drepi
drepinn;drepinn
drepit;drepið
drepit;drepit
drepizt;drepist
drepner;drepnir
drepnir;drepnir
drepr;drepur
drepum;drepum
dreymdi;dureymdi
dreymdi;dreymdi
dreymði;dreymdi
dreyra;dreyra
dritloki;dritloki
drjúgt;drjúgt
drjúpa;drjúpa
dro;dró
drogo;drógu
dropa;dropa
dropar;dropar
dropi;dropi
drotning;drottning
drotningar;drottningar
drotningu;drottningu
drottenhollastr;drottinhollastur
drottens;drottins
drottning;drottning
drottningar;drottningar
drottningarennar;drottningarinnar
drottningen;drottningin
drottningin;drottningin
drottningn;drottningu
drottningu;drottningu
droumum;draumum
drozk;dróst
drucnaðe;druknaði
drukkinn;drukkinn
drukkit;drukkið
drukkna;drukkna
drukknaði;drukknaði
drukku;drukku
drukku;durukku
druknaðe;drukknaði
druknir;drukknir
drupu;drupu
dryk;drykk
drykiu;drykkju
drykk;drykk
drykki;drykkju
drykki;drykki
drykkinn;drykkinn
drykkinum;drykkinum
drykkir;drykkir
drykkjar;drykkjar
drykkju;drykkju
drykkjum;drykkjum
drykkjumaðr;drykkjumaður
drykkjuna;drykkjuna
drykkr;drykkur
dryks;drykks
drápan;drápan
drápu;drápu
dráttarhamarr;dráttarhamarr
drægi;drægu
dræif;dreif
dræifðiz;dreifðist
dræifðizk;dreifðist
dræifðuz;dreifðust
drængi;drengi
drængiligha;drengilega
dræpir;dræpir
dræpner;drepnir
drífanda;drífanda
drífandi;drífandi
drífast;drífast
drífr;drífur
drífr;drífr
drífu;drífu
dró;dróg
dró;dró
drógu;drógu
dróttingarsonum;drottingarsonum
dróttinhollt;drottinhollt
dróttinn;dróttinn
dróttinsdegi;dróttinsdegi
dróttkveðinn;dróttkveðinn
dróttkvætt;dróttkvætt
dróttkvæðir;dróttkvæðir
dróttkvæðr;dróttkvæður
dróttkvæðs;dróttkvæðs
dróttkvæðu;dróttkvæðu
dróttkvæðum;dróttkvæðum
dróttning;dróttning
dróttning;drottning
dróttningina;drottningina
dróttningu;dróttningu
dróttningu;drottningu
drýpr;drýpur
drꝍymde;dreymdi
drꝍymdi;dreymdi
duga;duga
dugandi;dugandi
dugga;dugga
dugir;dugir
dugnaðe;dugnaði
duk;dúk
dukenn;dúkinn
duksens;dúksins
duldir;duldir
duliðr;duliður
dulðist;duldist
dunar;dunar
dunhendum;dunhendum
dunhent;dunhent
duol;dvöl
dura;dyra
dura;dura
duranna;dyranna
durum;dyrum
durunum;dyrunum
dusilmenni;dusilmenni
dvala;dvala
dvaldest;dvaldist
dvaldez;dvaldist
dvaldezk;dvaldist
dvaldist;dvaldist
dvalldest;dvaldist
dvalsk;dvalist
dvalðist;dvaldist
dveldist;dveldist
dvelia;dvelja
dvelið;dveljið
dvelja;dvelja
dveljast;dveljast
dveljum;dveljum
dvelst;dvelst
dverg;dverg
dverga;dverga
dvergadrekku;dvergadrekku
dvergana;dvergana
dverganna;dverganna
dvergar;dvergar
dvergarnir;dvergarnir
dvergr;dvergr
dvergrinn;dvergurinn
dvergs;dvergs
dvol;dvöl
dvölðust;dvöldust
dyfliza;dýflissa
dyflizuna;dýflissuna
dygde;dygði
dyliaz;dyljast
dyljast;dyljast
dylst;dylst
dymbildögum;dymbildögum
dyn;dyn
dyni;dyni
dyninn;dyninn
dynr;dynur
dyr;dýr
dyra;dýra
dyra;dyra
dyrlect;dýrlegt
dyrleger;dýrlegir
dyrleghom;dýrlegum
dyrlegr;dýrlegur
dyrnnar;dyrnar
dyrr;dyrr
dyrr;dyr
dyrra;dýrara
dyrrin;dyrnar
dyrrnar;dyrnar
dyrum;dyrum
dyrðill;dyrðill
dyrðlega;dýrðlega
dáligr;dálegur
dáligsta;dálegasta
dási;dási
dáðaskáld;dáðaskáld
dægr;dægur
dægri;dægri
dægrum;dægrum
dælla;dælla
dælligr;dællegur
dælska;dælska
dæma;dæma
dæmdi;dæmdi
dæmi;dæmi
dæmin;dæmin
dæmisögu;dæmisögu
dæmum;dæmum
dæmðu;dæmdu
dætr;dætr
dætr;dætur
dætra;dætra
dís;dís
dísarskáld;dísarskáld
dísir;dísir
dó;dó
dólg;dólg
dólgr;dólgur
dóm;dóm
dóma;dóma
dómar;dómar
dómarar;dómarar
dómendr;dómendur
dómendum;dómendum
dómi;dómi
dóminn;dóminn
dóminum;dóminum
dómr;dómur
dómr;dómr
dómrinn;dómurinn
dómsdegi;dómsdegi
dómsins;dómsins
dómstað;dómstað
dómstaðnum;dómstaðnum
dómstaðr;dómstaður
dómstóla;dómstóla
dómum;dómum
dóttir;dóttir
dóttur;dóttur
dögg;dögg
döggvir;döggvir
dögum;dögum
dögurð;dögurð
dögurðarmáli;dögurðarmáli
dökk;dökk
dökkva;dökkva
dölum;dölum
dúk;dúk
dúkinn;dúkinn
dúkum;dúkum
dúnklæði;dúnklæði
dý;dý
dýr;dýr
dýra;dýra
dýranna;dýranna
dýraveiði;dýraveiði
dýri;dýri
dýrin;dýrin
dýrlig;dýrleg
dýrlig;dýrðleg
dýrliga;dýrðlega
dýrliga;dýrlega
dýrligan;dýrlegan
dýrligir;dýrðlegir
dýrligra;dýrlegra
dýrligu;dýlegu
dýrshorn;dýrshorn
dýrt;dýrt
dýrum;dýrum
dýrúm;dýrum
dęgr;dægur
dœmist;dæmist
dỏgg;dögg
dỏggina;döggina
dꝍma;dæma
dꝍma;dæmi
dꝍmde;dæmdi
dꝍme;dæmi
dꝍtor;dætur
dꝍtr;dætur
dꝍya;deyja
dꝍyia;deyja
ec;ég
ecke;ekki
ecki;ekki
edda;edda
edr;eður
ef;ef
efa;efa
efanarlaust;efalaust
efast;efast
efla;efla
eflast;eflast
efldi;efldi
efldist;efldist
eflðuz;efldust
efndu;efndu
efni;efni
efniligt;efnilegt
efniligzsti;efnilegasti
efnir;efnir
efnis;efnis
efnndi;efndi
efnum;efnum
efra;efra
efri;efri
efst;efst
efstu;efstu
eftir;eftir
eftirbatr;eftirbátur
eftirfréttir;eftirfréttir
eftirgang;eftirgang
eftirgöngu;eftirgöngu
eftirgöngumenn;eftirgöngumenn
eftirlátligra;eftirlátligura
eftirmál;eftirmál
eftirmálit;eftirmálið
eftirreiðar;eftirreiðar
egg;egg
eggbitin;eggbitin
eggbitinn;eggbitinn
eggiaðe;eggjaði
eggin;eggin
eggiu;eggju
eggja;eggja
eggjanarorða;eggjunarorða
eggjar;eggjar
eggjaði;eggjaði
eggjuðu;eggjuðu
eggskurn;eggskurn
eggsteina;eggsteina
eggtíð;eggtíð
eggðir;eggðir
egndi;egndi
ei;ei
eiga;eigi
eiga;eiga
eiganda;eiganda
eigandi;eigandi
eigast;eigast
eighi;eigi
eigi;enda
eigi;ekki
eigi;eigi
eigi;egi
eigim;eigum
eigin;eigin
eigir;eigir
eign;eign
eignar;eignar
eignarlaus;eignarlaus
eignast;eignast
eignat;eingað
eignaz;eignast
eignazt;eignast
eignaðe;eignaði
eignaðest;eignaðist
eignaðez;eignaðist
eignaðezk;eignaðist
eignaði;eignaði
eignaðist;eignaðist
eignir;eignir
eignist;eignist
eignum;eignum
eigu;eigu
eigu;eiga
eigum;eigum
eiguð;eigið
eiguð;eiguð
eik;eik
eikina;eikina
eilivu;eilífu
ein;ein
eina;eigi
eina;eina
einarðir;einarðir
einarðliga;einarðlega
eingi;enginn
einhenda;einhenda
einhendr;einhendur
einherjar;einherjar
einhleypingr;einhleypingr
einhlítan;einhlítan
einhver;einhver
einhverju;einhverju
einhverjum;einhverjum
einhvern;einhvern
einhverr;einhver
einhvers;einhvers
einir;einir
einkamál;einkamál
einkanliga;einkanliga
einkarnafn;einkarnafn
einkili;einkili
einkis;einkis
einkum;einkum
einmánuðr;einmánuður
einmæli;einmæli
einn;einn
einn;ein
einne;einni
einni;einni
einnig;einnig
eins;eins
einshverjum;einhverjum
einskis;einskis
einstaka;einstaka
einstigi;einstigi
einsætt;einsætt
einu;einu
einum;einum
einurðar;einurðar
einvala;einvala
einvaldi;einvaldi
einvallz;einvalds
einvígi;einvígi
einvígis;einvígis
eira;eira
eit;eitt
eitr;eitur
eitrdropa;eiturdropa
eitri;eitri
eitrinu;eitrinu
eitrit;eitrið
eitrkvika;eiturkvika
eitrorm;eiturorm
eitt;eiðt
eitt;er
eitt;eitt
eitthvert;eitthvert
eið;eið
eiða;eiða
eiðfæra;eiðfæra
eiðsins;eiðsins
eiðstafenn;eiðstafinn
eiðsvarar;eiðsvarar
eiðunum;eiðunum
ek;ek
ek;Ég
ek;ég
ekki;ekki
ekkia;ekkja
ekkja;ekkja
ekr;ekur
eld;eld
eldahúsi;eldahúsi
eldahúsinu;eldahúsinu
eldahúsí;eldhúsi
eldar;eldar
eldast;eldast
eldhússdura;eldhúsdyra
eldi;eldi
eldingar;eldingar
eldingum;eldingum
eldinn;eldinn
eldinum;eldinum
eldr;eldur
eldrinn;eldurinn
elds;elds
elgi;elgi
elgr;elgur
elja;elja
elju;elju
eljun;eljun
eljunar;eljunar
eljur;eljur
ella;ella
elldinum;eldinum
elldri;eldri
ellegar;ellegar
elli;elli
ellidauðir;ellidauðir
ellifta;ellifta
ellifti;ellefti
ellifu;ellifu
ellifu;ellefu
elligar;ellegar
ellilyf;ellilyf
ellin;ellin
ellra;ellra
ellri;ellri
ellri;eldri
ellzens;eldsins
elnade;elnaði
elskat;elskað
elskaði;elskaði
elskhugi;elskhugi
elskhuginn;elskhuginn
elsku;elsku
eltan;eltan
eltir;eltir
eltu;eltu
elzt;elst
elzti;elzti
elztr;elstur
em;er
embætti;embætti
en;hinn
en;eldur
en;en
en;e
en;hin
enda;enda
endann;endann
endast;endast
endemi;eindæmi
endi;endi
endilangri;endilangri
endilangum;endilöngum
endir;endir
endist;endist
endranær;endranær
enga;enga
engan;engan
engann;engann
engar;engar
engi;engi
engi;engin
engi;enginn
enginn;enginn
engir;engir
engla;engla
engrar;engrar
engri;engri
engu;engu
engum;engum
enn;hinn
enn;enn
enn;en
enn;e
ennda;enda
ennis;ennis
eno;hinu
ens;hins
ens;hin
enskis;einskis
enskis;enskis
ensku;ensku
epla;epla
eplanna;eplanna
epli;epli
eplin;eplin
eptir;eftir
er;en
er;ef
er;Hér
er;ein
er;er
er;efra
erendat;erendað
erendi;erindi
erendi;erendi
erendis;erindis
erendislaust;erindislaust
erendleysu;erindleysu
erendreka;erindreka
